tweet,cn,offensive,stance,informativeness,felicity,tweet_id
@user must deport all illegal migrants india already reeling under constant threat of muslim radicals curb population, @user must deport all illegal migrants,1,1,0,2,658
for all the people holding up signs regarding illegal immigrants hand them each a bill to pay the cost of how much these people take from the american taxpayer and i bet they would take down their signs and go home, I don't think it's the right thing to do.,3,3,1,3,136
one-third of 214 arrested ms-13 gangsters were unaccompanied alien children - breitbart hashtag enddaca hashtag noamnesty hashtag buildthewall hashtag protectamerica hashtag enforceuslaws hashtag keepamericanssafe, I don't know why they were apprehended in the first place.,3,3,3,3,257
this should make every american called senatorstell them build the dam wallno chain migration/visa lottery & no amnesty corrupt democrats cant winwith hard working american s because they are hashtag walkaway from lies hashtag maga hashtag nodaca, This should make every american called senatorstell them build the dam wallno chain migration/visa lottery & no amnesty,1,1,0,2,183
@user @user muslims coming illegally across the southern border hashtag maga hashtag kag hashtag buildthatwall hashtag votered hashtag buildthedamnwall, #buildthatwall #buildthedamnwall,1,1,0,2,598
today in tallin: puppets of the financial establishment dream from a new europe with many slaves macron a wordmouth and kern a refugeelover https://t co/yfkd6dsjfm, I don't know why they were apprehended. Why do you assume they were illegals?,3,2,0,3,165
soon turists will stay away from spain bathbeaches today new refugees come to spain from maroco and escaped without registration and walk through the bathingpeople 1600 come last days https://t co/3v3zt9ndpr, It's a shame that so many people are coming to spain.,2,2,0,3,130
"@user dogs in america or dogs in mexico ?? a mexican asked me whether i was saying that hispanic immigrants had no right to a country meaning ours i replied ""immigrants have a country or they wouldnt be immigrants """, Dogs in america or dogs in mexico?,1,1,0,2,124
eu is a big spender of taxmoney turkey gets again many â‚¬ for keeping the refugees away from europe of course also other countries in africa want now money from the eu like libya sudan aso the only help would be now concentrationcamps hopefully without food and water https://t co/y8gujkv6qo, The EU is a big spender of taxmoney.,1,1,0,2,641
the real truth is after cologne and in the nordic countries and others no one trusts any refugees a better life for them doesnt mean 1 4 u, I don't think it's the right thing to do.,3,2,0,2,5
@user rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors hashtag usa hashtag americans hashtag america hashtag constitution hashtag end sanctuary cities hashtag enddaca hashtag americafirst hashtag maga hashtag congress @user @user, @user rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors,1,1,0,2,389
""" apparently @user considered setting annual refugee admissions cap at 5 000 hashtag refugees if that low number was admitted it would blow to smithereens the budgets of nine federal resettlement contractors learn who the nine supposed charities are https://t co/4d0drr2zar https://t co/yqfsnzqyuu""", @user considered setting annual refugee admissions cap at 5 000 hashtag refugees,1,1,0,2,809
europe is fed up with muslim immigration - new eu deal to stop the madness - free speech time - https://t co/blr3iqoxdl @user, I'm not a fan of muslim immigration. I'm a Muslim.,2,2,0,1,321
immigration gone crazy 100 trainee doctors from abroad what about nurse practitioners who are their equivalent get pain peanuts and are trained and come from the uk," I'm sorry to hear that. I'm not sure if it's a joke or not, but I'm sure it's not.",2,1,0,1,47
turkish government must immediately take precautions to protect its borders and find solution for the trouble in syria or else turkey will be a refugee storage in the near future and this is a big threat for our survival hashtag nomore refugee s, Turkey must take precautions to protect its borders and find solution for the trouble in Syria.,1,1,0,2,737
"street interview whit italians ""send all migrants back to where they came from they block streets to pray "" - free speech time - https://t co/d5dqr8pg3r @user", I don't think it's a good idea to send all migrants back to where they came from.,3,3,2,3,93
@user time to start firing judges who dont detain immigrants so @user can deport if he was detain and not given a bond that citizen would be alive, I don't think it's a good idea to detain immigrants.,3,3,2,3,101
"hashtag fakenews production gee they should trademark it a czech tourist notices something odd about these ""drowning refugees"" - they r part of the paid hashtag fakenews filming crew oh the poor hashtag muslims @user @user coproduction hashtag soros smirks contentedly https://t co/lf4qekayov", I don't know why they were apprehended.,2,2,0,3,218
"""@user @user @user @user @user @user theyve spread to every corner of our country apparently millions (who knows how many really) but millions infiltrated us they must go too all of them hashtag noamnesty hashtag nodaca hashtag b""", I don't know why they were apprehended in the first place.,2,2,0,3,778
"@user @user americas public assistance medicare medicaid ss et al are strained and americans ""benefits"" are being cut not even able to maintain status quo no immigrants should be granted entry that need assistance hashtag nodaca hashtag norefuge", I don't think it's the right thing to do.,3,3,1,3,277
@user must deport all illegal migrants india already reeling under constant threat of muslim radicals curb population," I'm sorry to hear that. I'm not sure if it's a joke or a joke, but I'd like to know.",2,2,0,1,658
for all the people holding up signs regarding illegal immigrants hand them each a bill to pay the cost of how much these people take from the american taxpayer and i bet they would take down their signs and go home, I don't think it's the right thing to do,3,3,1,3,136
one-third of 214 arrested ms-13 gangsters were unaccompanied alien children - breitbart hashtag enddaca hashtag noamnesty hashtag buildthewall hashtag protectamerica hashtag enforceuslaws hashtag keepamericanssafe, I don't think it's a good idea.,3,3,1,3,257
this should make every american called senatorstell them build the dam wallno chain migration/visa lottery & no amnesty corrupt democrats cant winwith hard working american s because they are hashtag walkaway from lies hashtag maga hashtag nodaca, I don't think it's a good idea.,3,3,1,3,183
@user @user muslims coming illegally across the southern border hashtag maga hashtag kag hashtag buildthatwall hashtag votered hashtag buildthedamnwall, #buildthatwall #buildthedamnwall,1,1,0,2,598
today in tallin: puppets of the financial establishment dream from a new europe with many slaves macron a wordmouth and kern a refugeelover https://t co/yfkd6dsjfm, I don't know why they were apprehended.,3,2,0,3,165
soon turists will stay away from spain bathbeaches today new refugees come to spain from maroco and escaped without registration and walk through the bathingpeople 1600 come last days https://t co/3v3zt9ndpr, i'm sorry to hear that.,2,1,0,3,130
"@user dogs in america or dogs in mexico ?? a mexican asked me whether i was saying that hispanic immigrants had no right to a country meaning ours i replied ""immigrants have a country or they wouldnt be immigrants """, I don't think it's the right thing to do,3,2,0,3,124
eu is a big spender of taxmoney turkey gets again many â‚¬ for keeping the refugees away from europe of course also other countries in africa want now money from the eu like libya sudan aso the only help would be now concentrationcamps hopefully without food and water https://t co/y8gujkv6qo, I'm sorry to hear that. I'm not sure if it's a joke or a joke.,2,2,0,1,641
the real truth is after cologne and in the nordic countries and others no one trusts any refugees a better life for them doesnt mean 1 4 u, I don't think it's a good idea.,3,2,0,3,5
@user rt @user sanctuary cities are against the law please shut them down & arrest/prosecute all criminal governors & mayors hashtag usa hashtag americans hashtag america hashtag constitution hashtag end sanctuary cities hashtag enddaca hashtag americafirst hashtag maga hashtag congress @user @user, @user rt @user I'm sorry to hear that.,2,2,0,2,389
""" apparently @user considered setting annual refugee admissions cap at 5 000 hashtag refugees if that low number was admitted it would blow to smithereens the budgets of nine federal resettlement contractors learn who the nine supposed charities are https://t co/4d0drr2zar https://t co/yqfsnzqyuu""", I don't think it's the right thing to do.,3,3,1,3,809
europe is fed up with muslim immigration - new eu deal to stop the madness - free speech time - https://t co/blr3iqoxdl @user," I'm sorry to hear that. I'm not a Muslim, but I'm a Muslim.",2,2,0,1,321
immigration gone crazy 100 trainee doctors from abroad what about nurse practitioners who are their equivalent get pain peanuts and are trained and come from the uk, I don't think it's a good idea.,3,2,0,3,47
turkish government must immediately take precautions to protect its borders and find solution for the trouble in syria or else turkey will be a refugee storage in the near future and this is a big threat for our survival hashtag nomore refugee s, I don't think it's the right thing to do.,3,3,1,3,737
"street interview whit italians ""send all migrants back to where they came from they block streets to pray "" - free speech time - https://t co/d5dqr8pg3r @user", I don't think it's the right thing to do.,3,3,1,3,93
@user time to start firing judges who dont detain immigrants so @user can deport if he was detain and not given a bond that citizen would be alive, I don't think it's the right thing to do.,3,3,1,3,101
"hashtag fakenews production gee they should trademark it a czech tourist notices something odd about these ""drowning refugees"" - they r part of the paid hashtag fakenews filming crew oh the poor hashtag muslims @user @user coproduction hashtag soros smirks contentedly https://t co/lf4qekayov", oh the poor hashtag muslims smirks contentedly,1,1,0,2,218
"""@user @user @user @user @user @user theyve spread to every corner of our country apparently millions (who knows how many really) but millions infiltrated us they must go too all of them hashtag noamnesty hashtag nodaca hashtag b""", I don't know why they were apprehended in the first place.,2,2,0,3,778
"@user @user americas public assistance medicare medicaid ss et al are strained and americans ""benefits"" are being cut not even able to maintain status quo no immigrants should be granted entry that need assistance hashtag nodaca hashtag norefuge", I don't think it's the right thing to do.,3,3,1,3,277
@user must deport all illegal migrants india already reeling under constant threat of muslim radicals curb population, I don't know why they were apprehended.,2,2,0,3,658
for all the people holding up signs regarding illegal immigrants hand them each a bill to pay the cost of how much these people take from the american taxpayer and i bet they would take down their signs and go home, I don't think it's the right thing to do.,3,3,1,3,136
one-third of 214 arrested ms-13 gangsters were unaccompanied alien children - breitbart hashtag enddaca hashtag noamnesty hashtag buildthewall hashtag protectamerica hashtag enforceuslaws hashtag keepamericanssafe, I don't know why they were apprehended.,3,3,3,3,257
this should make every american called senatorstell them build the dam wallno chain migration/visa lottery & no amnesty corrupt democrats cant winwith hard working american s because they are hashtag walkaway from lies hashtag maga hashtag nodaca, I'm sorry to hear that.,2,2,0,3,183
@user @user muslims coming illegally across the southern border hashtag maga hashtag kag hashtag buildthatwall hashtag votered hashtag buildthedamnwall, I don't know why they were apprehended.,3,2,0,3,598
today in tallin: puppets of the financial establishment dream from a new europe with many slaves macron a wordmouth and kern a refugeelover https://t co/yfkd6dsjfm, I don't know why they were apprehended.,3,2,0,3,165
soon turists will stay away from spain bathbeaches today new refugees come to spain from maroco and escaped without registration and walk through the bathingpeople 1600 come last days https://t co/3v3zt9ndpr, I'm sorry to hear that. I'm not sure if it's a joke or a joke.,2,2,0,1,130
"@user dogs in america or dogs in mexico ?? a mexican asked me whether i was saying that hispanic immigrants had no right to a country meaning ours i replied ""immigrants have a country or they wouldnt be immigrants """, I don't think it's the right thing to do.,3,2,0,3,124
eu is a big spender of taxmoney turkey gets again many â‚¬ for keeping the refugees away from europe of course also other countries in africa want now money from the eu like libya sudan aso the only help would be now concentrationcamps hopefully without food and water https://t co/y8gujkv6qo, I don't think it's the right thing to do.,3,2,0,3,641
the real truth is after cologne and in the nordic countries and others no one trusts any refugees a better life for them doesnt mean 1 4 u, I don't think it's the right thing to do.,3,2,0,3,5
